tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,2,0,0
5,4,0,0
6,6,0,0
7,6,1,0
8,6,1,0
9,4,2,4
10,1,0,10
11,1,0,10
12,1,0,10
13,1,0,10
14,1,0,10
15,1,0,10
16,1,0,10
17,1,0,10
18,1,0,10
19,1,0,10
20,1,0,10
21,1,0,10
22,0,1,10
23,0,1,10
24,0,1,10
25,0,1,10
26,0,1,10
27,0,1,10
28,0,1,11
29,0,1,11
30,0,1,11
31,0,1,11
32,0,1,11
33,0,1,11
34,0,1,11
35,0,1,11
36,0,1,11
37,0,1,11
38,0,1,11
39,0,1,11
40,0,1,11
41,0,1,11
42,0,1,11
43,0,1,11
44,0,1,11
45,0,1,11
46,0,1,11
47,0,1,11
48,0,1,11
49,0,1,11
50,0,1,11
51,0,1,11
52,0,1,11
53,0,1,11
54,0,1,11
55,0,1,11
56,0,1,11
57,0,1,11
58,0,1,11
59,0,1,11
60,0,1,11
61,0,1,11
62,0,1,11
63,0,1,11
64,0,1,11
65,0,1,11
66,0,1,11
67,0,1,11
68,0,1,11
69,0,1,11
70,0,1,11
71,0,1,11
